id,Time,Type,Notes
437,3:10PM 05-07-2017,Poo And Pee,Small poop
438,5:52PM 05-07-2017,Pee,
439,7:29PM 05-07-2017,Poo And Pee,Small poop
440,9:29PM 05-07-2017,Pee,
441,9:47PM 05-07-2017,Pee,
442,3:10AM 05-08-2017,Poo,
443,5:46AM 05-08-2017,Poo And Pee,Small poo
444,7:30AM 05-08-2017,Poo And Pee,
445,8:41AM 05-08-2017,Pee,
446,10:51AM 05-08-2017,Poo And Pee,Mostly poo
447,12:53PM 05-08-2017,Pee,
448,2:24PM 05-08-2017,Pee,
449,4:16PM 05-08-2017,Poo And Pee,
450,6:30PM 05-08-2017,Poo And Pee,
451,9:38PM 05-08-2017,Pee,
452,5:39AM 05-09-2017,Poo And Pee,
453,8:45AM 05-09-2017,Pee,
454,2:10PM 05-09-2017,Pee,
455,4:15PM 05-09-2017,Pee,
456,7:13PM 05-09-2017,Poo And Pee,
457,9:00PM 05-09-2017,Poo And Pee,
458,4:51AM 05-10-2017,Pee,
459,8:31AM 05-10-2017,Poo And Pee,
460,10:47AM 05-10-2017,Pee,
461,1:28PM 05-10-2017,Poo And Pee,
462,3:30PM 05-10-2017,Poo And Pee,Tiny poop
463,6:19PM 05-10-2017,Poo And Pee,Small poop  lots of pee
464,8:34PM 05-10-2017,Pee,
465,3:36AM 05-11-2017,Poo And Pee,
466,7:39AM 05-11-2017,Pee,
467,9:48AM 05-11-2017,Poo And Pee,
469,11:00AM 05-11-2017,Pee,
468,1:31PM 05-11-2017,Poo And Pee,
470,2:52PM 05-11-2017,Pee,
471,5:57PM 05-11-2017,Poo And Pee,Small poo
472,7:18PM 05-11-2017,Pee,
473,10:10PM 05-11-2017,Poo And Pee,
474,3:58AM 05-12-2017,Pee,
475,6:36AM 05-12-2017,Pee,
476,8:32AM 05-12-2017,Poo And Pee,
477,11:34AM 05-12-2017,Pee,
478,1:14PM 05-12-2017,Poo And Pee,
479,2:37PM 05-12-2017,Pee,
480,7:30PM 05-12-2017,Poo And Pee,
481,10:08PM 05-12-2017,Pee,
482,3:50AM 05-13-2017,Pee,
483,7:43AM 05-13-2017,Poo And Pee,
484,11:01AM 05-13-2017,Poo And Pee,
485,1:44PM 05-13-2017,Pee,
486,2:19PM 05-13-2017,Poo And Pee,
487,6:20PM 05-13-2017,Poo And Pee,
488,8:54PM 05-13-2017,Poo And Pee,Small and green poop
489,3:56AM 05-14-2017,Pee,
490,8:23AM 05-14-2017,Pee,
491,9:30AM 05-14-2017,Poo And Pee,
492,3:21PM 05-14-2017,Poo And Pee,
493,6:52PM 05-14-2017,Pee,
494,3:17AM 05-15-2017,Poo And Pee,
495,5:58AM 05-15-2017,Poo And Pee,
496,9:18AM 05-15-2017,Poo And Pee,
497,1:45PM 05-15-2017,Poo And Pee,Small dark poop
498,4:06PM 05-15-2017,Poo And Pee,
499,7:37PM 05-15-2017,Poo And Pee,
500,8:15PM 05-15-2017,Poo And Pee,
501,10:15PM 05-15-2017,Poo And Pee,
502,2:33AM 05-16-2017,Pee,
503,6:04AM 05-16-2017,Pee,
504,9:14AM 05-16-2017,Poo And Pee,
505,11:27AM 05-16-2017,Poo And Pee,
506,1:37PM 05-16-2017,Pee,
507,5:08PM 05-16-2017,Pee,
508,8:10PM 05-16-2017,Poo And Pee,Lotsa poo! 💩💩
509,9:29PM 05-16-2017,Pee,
510,3:32AM 05-17-2017,Pee,
511,7:21AM 05-17-2017,Pee,
512,10:34AM 05-17-2017,Poo And Pee,
514,3:30PM 05-17-2017,Poo And Pee,
513,7:29PM 05-17-2017,Poo And Pee,Small poop
515,8:50PM 05-17-2017,Poo And Pee,
516,9:39PM 05-17-2017,Pee,
517,2:27AM 05-18-2017,Poo And Pee,
518,7:43AM 05-18-2017,Pee,
519,11:48AM 05-18-2017,Poo And Pee,
520,2:10PM 05-18-2017,Pee,
521,4:19PM 05-18-2017,Poo And Pee,
522,6:41PM 05-18-2017,Poo And Pee,
523,1:29AM 05-19-2017,Pee,
524,6:06AM 05-19-2017,Poo And Pee,Messy big poo
525,6:57AM 05-19-2017,Pee,
527,1:30PM 05-19-2017,Pee,
528,3:15PM 05-19-2017,Poo And Pee,
526,7:10PM 05-19-2017,Poo And Pee,
530,8:35PM 05-19-2017,Pee,
529,3:17AM 05-20-2017,Pee,
531,7:46AM 05-20-2017,Poo,
532,10:58AM 05-20-2017,Pee,
533,3:42PM 05-20-2017,Poo And Pee,
534,5:19PM 05-20-2017,Poo And Pee,Small poo
535,9:50PM 05-20-2017,Poo And Pee,
536,3:04AM 05-21-2017,Pee,
537,10:20AM 05-21-2017,Poo And Pee,
538,1:06PM 05-21-2017,Pee,
539,1:47PM 05-21-2017,Pee,
540,3:15PM 05-21-2017,Poo And Pee,
541,5:43PM 05-21-2017,Pee,
543,8:04PM 05-21-2017,Poo And Pee,Small poo
544,5:56AM 05-22-2017,Pee,
545,6:11AM 05-22-2017,Poo,
546,8:51AM 05-22-2017,Poo And Pee,Small poop from last one
542,9:52AM 05-22-2017,Poo And Pee,
547,11:50AM 05-22-2017,Poo And Pee,
548,12:34PM 05-22-2017,Poo And Pee,
549,5:37PM 05-22-2017,Pee,
550,7:09PM 05-22-2017,Poo And Pee,
551,9:01PM 05-22-2017,Poo,
552,5:52AM 05-23-2017,Poo And Pee,
553,8:22AM 05-23-2017,Pee,
554,9:00AM 05-23-2017,Poo And Pee,
555,11:36AM 05-23-2017,Pee,
556,12:30PM 05-23-2017,Poo And Pee,
