id,Start Time,End Time,Feeding History ID
566,1491273632030,1491273666195,253
567,1491279040202,1491279068311,254
568,1491279204470,1491279341629,254
569,1491279739767,1491279804312,254
570,1491279909424,1491280038582,254
571,1491280061554,1491280199196,254
572,1491280312059,1491280322990,254
573,1491280380448,1491280594946,254
574,1491281672239,1491281705984,255
575,1491281735191,1491281761738,255
576,1491281932340,1491281961456,255
577,1491282025765,1491282047700,255
578,1491285810039,1491285851942,256
579,1491285992987,1491286030166,256
580,1491321551433,1491321603853,263
581,1491323170384,1491323285594,264
582,1491336491691,1491336530358,266
583,1491336584231,1491336788482,266
584,1491342784751,1491342817188,267
585,1491342890347,1491342987288,267
586,1491343148658,1491343282812,267
587,1491343318583,1491343338552,267
588,1491353916277,1491354072131,269
589,1491354201695,1491354232296,269
590,1491354294005,1491354322738,269
591,1491354347743,1491354462331,269
592,1491354617749,1491354631714,269
593,1491358003762,1491358111072,270
594,1491358201300,1491358219165,270
595,1491359769283,1491359803052,271
596,1491360113277,1491360147595,271
597,1491360165735,1491360187584,271
598,1491360231458,1491360246353,271
599,1491360340867,1491360417917,271
600,1491360433189,1491360439420,271
601,1491374651870,1491374664011,273
602,1491374684599,1491374701701,273
603,1491374874280,1491375054296,273
604,1491376477652,1491376595789,274
605,1491376638763,1491377155133,274
606,1491377490886,1491377515931,274
607,1491386133762,1491386143661,276
608,1491386285477,1491386293974,276
609,1491386323245,1491386331427,276
610,1491393085095,1491393090208,277
611,1491393166070,1491393219636,277
612,1491393277928,1491393285109,277
613,1491394983589,1491394998158,278
614,1491405292806,1491405300221,281
615,1491413274610,1491413313831,283
616,1491413400310,1491413467548,283
617,1491413523023,1491413599340,283
618,1491413820670,1491413872113,283
619,1491415406258,1491415436206,284
620,1491419250703,1491419287893,285
621,1491419369358,1491419384535,285
622,1491419411523,1491419416089,285
623,1491419535168,1491419715611,285
624,1491419810862,1491419845013,285
625,1491419980009,1491420026412,285
626,1491422545825,1491422574293,287
627,1491425692282,1491425709353,288
628,1491426757574,1491426813391,289
629,1491427035042,1491427213901,289
630,1491427326809,1491427346256,289
631,1491434502055,1491434518221,291
632,1491434800365,1491434806080,291
633,1491441567931,1491441579503,292
634,1491441603159,1491441608974,292
635,1491441669281,1491441689448,292
636,1491441756322,1491441784055,292
637,1491443615749,1491443623631,293
638,1491443641922,1491443768673,293
639,1491443876785,1491443881532,293
640,1491443962459,1491443991608,293
641,1491444113403,1491444168189,293
642,1491450009753,1491450017875,294
643,1491450105987,1491450120536,294
644,1491451439717,1491451444363,296
645,1491451464968,1491451478318,296
646,1491451510256,1491451518986,296
647,1491451713639,1491451756875,296
648,1491451802231,1491452051900,296
649,1491452356118,1491452409918,296
650,1491452495864,1491452526228,296
651,1491452673145,1491452690025,296
652,1491452774756,1491452803286,296
653,1491452878063,1491452926213,296
654,1491452968203,1491452975419,296
655,1491453005488,1491453039258,296
656,1491453107956,1491453145571,296
657,1491453238685,1491453539556,296
658,1491453735760,1491453753040,296
659,1491453910935,1491453924356,296
660,1491454021213,1491454029483,296
661,1491455421557,1491455452117,297
662,1491455498922,1491455531926,297
663,1491455590365,1491455662818,297
664,1491455726563,1491456014531,297
665,1491456105844,1491456116223,297
666,1491456179367,1491456266906,297
667,1491472422116,1491472429234,298
668,1491472463423,1491472476838,298
669,1491472557281,1491472624106,298
670,1491472666459,1491472998583,298
671,1491473239539,1491473247804,298
672,1491473425456,1491473430720,298
673,1491485454333,1491485568073,301
674,1491485662201,1491485877334,301
675,1491486019864,1491486039346,301
676,1491487217828,1491487227544,302
677,1491487611693,1491487658429,302
678,1491487741122,1491487752454,302
679,1491487796060,1491487852316,302
680,1491487930723,1491487948285,302
681,1491488003144,1491488019275,302
682,1491488060332,1491488124250,302
683,1491495540606,1491495726819,303
684,1491497205048,1491497268486,304
685,1491497334755,1491497344009,304
686,1491497413946,1491497478050,304
687,1491497631351,1491497808063,304
688,1491502380446,1491502398854,305
689,1491502569841,1491502581591,305
690,1491502744139,1491502806075,305
691,1491503388930,1491503402978,306
692,1491507103089,1491507180046,307
693,1491507282955,1491507288750,307
694,1491507314953,1491507399546,307
695,1491507507840,1491507553873,307
696,1491507625715,1491507829228,307
697,1491507886629,1491507897319,307
698,1491508662061,1491508725110,308
699,1491508780535,1491508804715,308
700,1491508825769,1491508834301,308
701,1491520555657,1491520561409,309
702,1491520764382,1491520770024,309
703,1491520824856,1491520835358,309
704,1491521828889,1491521851047,310
705,1491522112207,1491522150539,310
706,1491522432248,1491522438062,310
